SpeciesCode,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ALFL,19,12,19,1,14,75,6,17,14,8,6,45
AMCO,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
AMCR,0,0,0,0,0,0,0,0,0,0,0,0
AMGP,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
AMKE,0,0,0,0,0,0,0,0,0,0,0,0
AMPI,0,0,0,0,3,0,0,5,0,1,0,0
AMRE,10,3,2,4,3,14,1,4,10,4,4,15
AMRO,13,1,8,16,18,21,14,18,46,18,17,6
AMWI,0,0,0,0,0,0,0,0,0,0,0,0
ARTE,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA
ATSP,104,54,11,124,58,474,60,13,161,30,28,65
ATTW,1,0,0,0,0,0,1,0,0,3,0,0
BAEA,0,0,0,0,0,0,0,0,0,0,0,0
BAGO,0,0,0,NA,0,0,0,0,NA,0,0,0
BANS,0,0,0,0,0,0,0,0,0,0,0,0
BARS,0,0,0,0,0,0,NA,0,0,0,0,0
BASA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
BAWW,1,NA,1,NA,NA,1,0,NA,1,NA,0,NA
BBPL,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
BBWA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BBWO,NA,0,NA,NA,NA,NA,NA,NA,1,NA,0,0
BCCH,0,0,0,1,0,0,1,2,1,2,4,3
BDOW,NA,NA,NA,0,NA,0,0,0,0,0,0,1
BEKI,1,0,0,0,0,1,0,0,0,0,1,2
BHCO,1,1,0,2,0,3,1,0,2,0,1,3
BHVI,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0
BLPW,36,72,36,43,105,104,5,34,8,5,45,32
BOCH,0,3,0,5,8,5,2,15,6,2,6,5
BOGU,0,0,NA,NA,0,0,0,0,0,0,0,0
BOOW,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
BOWA,0,2,0,0,0,1,0,0,2,1,0,1
BUFF,0,0,0,0,1,0,0,0,0,0,0,0
BWTE,0,0,0,0,0,0,0,0,0,0,0,0
CAGO,0,0,0,0,0,0,0,0,0,0,0,0
CAJA,2,0,0,4,0,3,3,1,5,2,2,0
CANG,0,0,0,0,0,0,0,0,0,0,0,0
CANV,NA,0,0,0,0,NA,0,0,NA,NA,NA,NA
CCSP,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA
CEDW,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
CHSP,5,3,1,7,6,2,5,3,3,0,1,4
CITE,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
CLSW,0,0,0,0,0,0,0,0,0,0,0,0
CMWA,1,1,0,0,1,0,1,0,0,NA,NA,NA
COGO,0,0,0,0,0,0,0,0,0,0,0,0
COLO,0,0,0,0,0,0,0,0,0,0,0,0
COME,0,0,0,0,0,0,0,0,0,0,NA,0
CONI,NA,NA,0,NA,0,NA,NA,NA,0,0,NA,0
CORA,0,0,0,0,0,0,0,0,0,0,0,0
CORE,11,34,0,127,1,56,293,11,186,11,0,25
COSN,1,0,1,0,0,1,0,0,0,2,0,0
COYE,72,38,25,48,96,85,44,22,56,12,87,44
DEJU,53,27,6,49,110,228,88,13,78,39,31,125
DOWO,NA,NA,NA,0,NA,NA,NA,NA,NA,1,0,0
DOWS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
DUFL,NA,1,NA,NA,0,NA,1,NA,NA,NA,NA,NA
EAKI,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
ECDO,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA
EUCD,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA
EUST,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
EVGR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
FOSP,24,45,6,231,164,176,148,2,70,6,7,5
GADW,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCKI,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,1
GCRF,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
GCSP,2,1,1,1,2,6,10,NA,1,1,1,0
GCTH,10,1,3,4,NA,14,16,8,5,5,19,13
GHOW,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
GOEA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRAJ,2,0,0,4,0,3,3,1,5,2,2,0
GRSC,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRYE,0,0,0,0,0,0,0,0,0,0,NA,NA
GUSP,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,0
GWFG,0,0,0,0,0,0,0,0,0,NA,0,0
GWTE,0,0,0,0,0,0,0,0,0,0,0,0
HAFL,8,1,0,0,6,12,5,7,6,1,9,13
HAWO,0,0,0,0,0,0,2,0,0,1,0,NA
HERG,0,0,0,0,0,0,0,0,0,0,0,0
HETH,1,4,1,2,8,15,1,6,1,1,1,1
HOGR,0,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA
HOLA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HOME,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
HORE,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
KILL,0,0,0,0,0,0,NA,NA,0,0,0,NA
LALO,0,2,1,0,1,1,0,0,0,1,55,0
LBDO,0,0,0,NA,0,0,0,0,0,NA,0,NA
LEFL,2,2,0,0,3,3,4,3,7,1,4,4
LESA,0,0,0,0,NA,0,0,0,0,NA,0,NA
LESC,0,0,0,NA,NA,0,0,0,NA,NA,NA,0
LEYE,0,0,0,0,0,0,0,0,0,0,0,0
LISP,91,20,22,51,70,185,102,16,92,25,67,101
LTDU,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
MALL,0,0,0,0,0,0,0,0,0,0,0,0
MAWA,4,1,1,0,0,2,NA,0,0,0,NA,2
MEGU,0,0,0,0,0,0,0,0,0,0,0,0
MERL,NA,0,NA,0,0,0,0,0,0,0,0,0
MGWA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
MOBL,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
