SpeciesCode,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ALFL,8,43,6,5,0,NA,NA,1,NA,NA,NA,NA,5,4,2,4,2,0,0,1,15,8,1,14
AMAV,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMBI,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0
AMCO,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0
AMCR,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
AMGO,5,23,13,5,0,NA,NA,14,NA,NA,NA,NA,4,4,10,8,1,5,0,7,10,8,5,23
AMGP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMKE,NA,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA
AMPI,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMRE,3,6,0,5,0,6,3,14,NA,NA,NA,NA,5,NA,4,5,2,0,0,1,14,13,13,3
AMRO,9,6,6,7,0,NA,NA,6,NA,NA,NA,NA,8,3,14,9,12,5,17,6,12,31,10,14
AMWI,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0
ATSP,NA,3,0,1,0,16,NA,0,NA,NA,NA,NA,0,5,NA,NA,1,NA,1,NA,NA,22,0,1
AWPE,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
BAEA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,0,NA
BANS,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
BAOR,0,24,0,0,0,NA,NA,11,NA,NA,NA,NA,1,4,8,2,6,16,5,3,5,7,13,20
BARS,1,4,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,0,NA
BAWW,1,NA,NA,1,0,NA,NA,3,NA,NA,NA,NA,1,3,0,NA,NA,2,1,1,0,1,NA,0
BBMA,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0
BBPL,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BBWA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCCH,19,11,4,4,0,NA,NA,21,NA,NA,NA,NA,5,2,5,0,6,2,2,2,10,30,16,17
BCNH,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BHCO,74,28,28,9,0,NA,NA,16,NA,NA,NA,NA,11,16,1,8,6,11,4,2,11,9,13,11
BHVI,NA,NA,0,NA,0,2,NA,1,NA,NA,NA,NA,1,0,NA,0,NA,0,NA,NA,NA,0,0,NA
BLJA,1,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,0,0,0,0,0
BLPW,18,7,8,2,0,NA,6,7,NA,NA,NA,NA,1,3,5,3,1,3,NA,3,6,2,23,1
BLTE,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,0,0,0,0
BNST,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BOBO,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BOCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
