SpeciesCode,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ABDU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,NA
ALFL,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,0
AMBI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
AMCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
AMCR,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
AMGO,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,0,0,0,3,3,0,7
AMGP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
AMKE,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0
AMPI,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0
AMRE,NA,NA,NA,NA,NA,NA,NA,NA,194,273,190,146,193,160,160,121,168,74,108
AMRO,NA,NA,NA,NA,NA,NA,NA,NA,3,5,6,5,6,5,14,1,7,2,6
AMWI,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,NA,0,0
AMWO,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,1,0,0,0,0
ATSP,NA,NA,NA,NA,NA,NA,NA,16,6,18,1,4,2,1,36,16,17,1,12
BAEA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
BANS,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0,0,0
BAOR,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,4,0,0
BARS,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
BAWW,NA,NA,NA,NA,NA,NA,NA,NA,29,57,55,45,63,42,76,23,46,41,41
BBCU,NA,NA,NA,NA,NA,NA,NA,NA,4,2,0,NA,0,0,NA,1,0,0,NA
BBMA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BBPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BBWA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,7,0,3,1,0,1,4,0,2
BBWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
BCCH,NA,NA,NA,NA,NA,NA,NA,NA,74,9,16,165,27,26,4,2,6,14,3
BDOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0
BEKI,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
BGGN,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,NA
BHCO,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0
BHVI,NA,NA,NA,NA,NA,NA,NA,4,4,5,7,4,3,3,7,0,4,3,2
BLBW,NA,NA,NA,NA,NA,NA,NA,NA,0,2,11,3,7,3,1,0,9,2,2
BLJA,NA,NA,NA,NA,NA,NA,NA,NA,61,24,11,10,41,33,51,24,23,17,33
BLPW,NA,NA,NA,NA,NA,NA,NA,NA,1,0,2,1,3,2,0,1,5,0,0
BLSC,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA
BLTE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
BOBO,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
BOCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
BOGU,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
BOWA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
BRAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRBL,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
BRCR,NA,NA,NA,NA,NA,NA,NA,NA,8,54,12,86,10,35,60,25,200,22,80
BRTH,NA,NA,NA,NA,NA,NA,NA,NA,9,8,7,3,5,6,8,3,6,1,4
BTBW,NA,NA,NA,NA,NA,NA,NA,NA,20,25,25,26,27,23,17,18,24,24,19
BTNW,NA,NA,NA,NA,NA,NA,NA,NA,16,27,19,18,27,20,26,22,12,12,13
BUFF,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
BWHA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,0,0,0,0,0,0
BWTE,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA
BWWA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA
CAGO,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,10,0,0,0,0,0,0
CANG,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,10,0,0,0,0,0,0
CATE,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
CAWA,NA,NA,NA,NA,NA,NA,NA,16,11,21,17,16,13,21,16,10,8,10,10
CCSP,NA,1,NA,NA,NA,1,NA,NA,NA,0,NA,0,NA,2,0,1,0,1,0
CEDW,NA,NA,NA,NA,NA,NA,NA,NA,0,21,0,0,13,0,0,1,0,0,0
CHSP,NA,NA,NA,NA,NA,NA,NA,NA,7,13,15,6,11,13,13,5,12,16,13
CHSW,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0
CLSW,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,0,0,0,NA,NA
CMWA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,3,1,3,1,2,0,3,2,3
