SpeciesCode,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
ABDU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
ALFL,0,NA,NA,NA,NA,NA,NA,NA,0,0,3,NA,0,NA,NA,NA
AMAV,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,NA
AMBI,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0
AMCO,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA
AMCR,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0
AMGO,35,NA,NA,NA,NA,NA,NA,NA,16,118,18,NA,24,35,39,52
AMGP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
AMKE,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA
AMPI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
AMRE,93,NA,NA,NA,NA,NA,NA,NA,13,54,26,NA,105,101,221,236
AMRO,14,NA,NA,NA,NA,NA,NA,NA,11,10,12,NA,4,20,14,32
AMWI,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA
AMWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
ATSP,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
AWPE,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0
BAEA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0
BANS,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,17,0,0,0
BAOR,35,NA,NA,NA,NA,NA,NA,NA,18,32,24,NA,23,20,24,36
BARS,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,46,7,4,0
BAWW,38,NA,NA,NA,NA,NA,NA,NA,7,48,3,NA,9,46,32,18
BBCU,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA
BBMA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0
BBPL,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA
BBWA,1,NA,2,NA,NA,NA,NA,2,1,6,1,1,0,2,2,2
BCCH,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,1,1,NA
BCNH,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,NA
BEKI,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,1,1,0
BHCO,13,NA,NA,NA,NA,NA,NA,NA,12,6,21,NA,22,10,12,44
BHVI,7,NA,NA,NA,NA,NA,NA,NA,4,3,3,NA,NA,1,0,0
BLBW,3,1,NA,NA,NA,NA,NA,NA,0,1,0,NA,0,0,4,0
BLJA,6,NA,NA,NA,NA,NA,NA,NA,6,0,1,NA,0,1,2,0
BLPW,145,NA,NA,NA,NA,NA,NA,NA,14,21,50,NA,2,24,44,14
BLTE,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0
BOBO,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,0
BOCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
BOGU,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0
BRBL,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
BRCR,7,NA,NA,1,NA,NA,NA,NA,3,6,1,NA,NA,14,3,2
BRTH,8,NA,NA,NA,NA,NA,NA,NA,6,4,11,NA,1,1,1,6
BTBW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA
BTNW,2,NA,NA,NA,NA,NA,NA,1,0,0,0,NA,0,NA,1,NA
BUFF,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0
BWHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0
BWTE,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,1,0
BWWA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
CACG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
CAGO,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0
CANG,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0
CANV,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,0
CATE,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0
CAWA,8,11,4,3,NA,NA,7,NA,4,10,4,NA,17,16,43,34
CCSP,54,NA,NA,NA,NA,NA,NA,NA,17,19,80,NA,10,19,13,32
CEDW,6,265,NA,NA,NA,NA,NA,NA,12,10,9,NA,5,6,6,122
CHSP,25,NA,NA,NA,NA,NA,NA,NA,41,12,55,NA,24,12,14,20
CHSW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLGR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
CLSW,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,4,0,0,0
CMWA,9,NA,NA,NA,NA,NA,NA,NA,5,20,15,NA,4,21,11,0
COGO,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0
COGR,2,NA,NA,NA,NA,NA,NA,NA,5,0,0,NA,1,3,4,8
COHA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,NA
COLO,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
COME,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0
CONI,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0
CONW,3,3,2,NA,NA,NA,NA,2,1,3,2,NA,0,0,NA,4
CORA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0
CORE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
COSN,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0
COTE,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0
COYE,115,NA,NA,NA,NA,NA,73,NA,57,74,29,NA,38,96,90,212
CSWA,10,NA,NA,NA,NA,NA,NA,NA,2,17,1,4,4,18,39,18
DCCO,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0
DEJU,24,NA,NA,NA,NA,NA,NA,NA,0,2,0,NA,1,8,7,0
DOWO,2,NA,NA,NA,NA,NA,NA,NA,9,5,2,NA,2,8,7,10
DUNL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
EABL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA
EAGR,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA
EAKI,11,NA,NA,NA,NA,NA,NA,NA,6,7,9,NA,5,3,6,4
EAPH,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,2,8,8,14
EATO,NA,NA,NA,2,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA
EAWP,0,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,2,NA,0,0
EUST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA
EVGR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EWPW,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
EWWR,3,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,0,1,0,2
FOSP,12,60,3,NA,NA,NA,NA,NA,NA,1,NA,NA,0,5,NA,NA
FOTE,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0
FRGU,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0
GADW,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,NA
GBHE,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0
GCFL,NA,NA,1,NA,NA,NA,NA,NA,0,2,0,NA,NA,1,0,0
GCKI,7,NA,2,NA,NA,NA,1,NA,3,0,1,NA,NA,1,2,4
GCTH,20,NA,NA,NA,NA,NA,NA,NA,11,23,3,NA,14,12,11,22
GHOW,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0
GRCA,85,69,NA,NA,NA,NA,83,NA,91,91,53,NA,31,25,54,100
GREG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
GRSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
GRYE,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0
GUSP,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0
GWTE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA
GWWA,1,NA,NA,NA,NA,NA,2,NA,1,3,NA,NA,0,NA,NA,2
HASP,10,NA,NA,NA,NA,NA,NA,NA,13,5,6,NA,6,8,9,26
HAWO,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,0,0,0,2
HERG,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0
HETH,49,NA,NA,NA,NA,NA,NA,NA,28,32,13,NA,2,27,9,12
HOFI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
HOGR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
HOLA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HOME,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,NA
HOSP,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HOWR,56,NA,NA,NA,NA,NA,NA,NA,10,22,17,NA,18,24,30,98
INBU,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA
KILL,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0
LALO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LASP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LCSP,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2
LEFL,123,NA,NA,NA,NA,NA,NA,89,47,141,89,NA,68,83,125,168
LEOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
LESA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LESC,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,0,NA
LEYE,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,NA
LISP,13,NA,NA,NA,NA,NA,NA,NA,24,20,8,NA,11,44,33,112
MAGO,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA
MALL,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0
MAWA,41,NA,NA,NA,NA,NA,NA,NA,12,47,20,NA,23,43,50,30
MAWR,1,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,2,NA,0,0
MERL,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0
MODO,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,1,0
MOWA,10,13,2,NA,NA,NA,7,NA,14,12,7,19,15,20,22,72
NAWA,20,NA,NA,NA,NA,NA,NA,NA,6,29,15,NA,3,28,23,8
NESP,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
NOFL,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,1,2,1,0
NOGO,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
NOHA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0
NOMO,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
NOPA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
NOPI,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA
NOWA,24,NA,NA,NA,NA,NA,NA,39,55,23,9,NA,87,386,123,334
NRWS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
NSHO,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0
NSHR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NSTS,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
OCWA,74,NA,NA,NA,NA,NA,NA,NA,23,31,14,NA,2,35,24,40
OROR,1,5,NA,NA,NA,NA,NA,NA,3,1,3,NA,5,2,6,16
OSFL,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,2,NA,0,0
OSPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0
OVEN,21,NA,NA,NA,NA,NA,NA,NA,15,26,2,NA,11,28,19,8
PAWA,62,NA,NA,NA,NA,NA,NA,NA,58,24,26,NA,12,74,27,122
PBGR,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
PEEP,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA
PEFA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
PESA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
PHVI,4,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,3,3,4,NA
PISI,17,NA,NA,NA,NA,NA,NA,NA,0,NA,4,NA,1,1,6,NA
PUFI,3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,NA,NA
PUMA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
RBGR,13,NA,NA,NA,NA,NA,NA,NA,1,10,6,NA,0,12,17,10
RBGU,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0
RBME,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
RBNU,1,NA,NA,NA,NA,NA,NA,1,0,NA,0,NA,0,2,1,2
RCKI,182,NA,NA,NA,NA,NA,NA,NA,21,44,34,NA,17,32,32,76
