SpeciesCode,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ABDU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0,0,0
ACFL,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALFL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
AMBI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0
AMCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMCR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
AMGO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,16,20,16,9,6,18,24,19,6,29
AMGP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
AMKE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0
AMPI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,NA,0,NA,NA,NA,0,NA
AMRE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,35,80,52,33,46,58,94,95,73,107
AMRO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,38,18,25,11,28,24,11,10,10,6
AMWI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,0,0
AMWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0
ARTE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA
ATSP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,11,1,10,10,3,13,3,2
AWPE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0
BAGO,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BANS,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,0,0,0,NA,0,0,0,0,0,0
BAOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,20,18,25,12,8,24,6,4,3,4
BARS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,1
BAWW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,19,34,17,32,17,25,33,22,9,19
BBCU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,0,3,1,NA,NA,1,0,NA
BBPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,0
BBWA,NA,NA,1,5,NA,NA,1,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,2,NA,1,1
BCCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,98,30,265,9,212,8,694,14,374,8
BCNH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0
BEKI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,2,0,0,1,1
BGGN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,0,NA
BHCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,4,0,0,3,1,0,1,0,0
BHVI,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,1,1,NA,0,NA,0,NA,0
BLBW,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0,1,0,2,1,0,NA,2,2,1,NA
BLJA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,20,24,18,8,7,9,10,15,5,8
BLPW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,24,10,24,34,5,7,4,22,6,11
BLSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLTE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,0,0,NA,0
BLVU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BOBO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,1,1,0,0,0,0
BOCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BOGU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0,0,0,NA
BOWA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0
BRAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
BRCR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,3,0,0,0,1,1,2,NA
BRTH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,16,20,10,7,17,16,13,25,10,20
BTBW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,3,0,1,4,2,0,1,0
BTNW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,6,3,1,2,1,2,2,0,1
BUFF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
BWHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,NA
BWTE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,0,NA
BWWA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
CAGO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
CANG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
CARW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,1
CATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,0,NA,0,NA
CAWA,NA,NA,1,NA,NA,NA,NA,5,NA,NA,1,0,NA,4,4,4,NA,0,3,NA,3,1
CCSP,3,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA
CEDW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,26,158,26,57,12,189,29,22,11,318
CHSP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,16,20,18,11,10,5,6,15,2,6
CHSW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0,0
CLSW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,3
CMWA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,0,1,NA,0,1
COGA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
COGO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
COGR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,26,56,17,15,7,15,7,8,7,21
COHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA
COLO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,7,0
COME,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
COMO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
CONI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0
CORA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
CORE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA
