SpeciesCode,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ALFL,4,1,1,4,6,NA,1,8,4,NA,11,NA,11,NA,5,NA,8,15,NA,13,2,NA,3,28
AMAV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
AMBI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA
AMCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
AMCR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,0,0,0
AMGO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,7,1,8,11,17,NA,8,9,0,2,14
AMGP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMKE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
AMPI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMRE,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,11,7,1,7,26,10,NA,10,5,1,10,18
AMRO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,13,30,32,42,35,NA,39,28,9,11,17
AMWI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,NA,0,NA,0
AWPE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0
BAEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
BAIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BANS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,0,0,0
BAOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,5,7,6,14,26,NA,20,8,1,9,22
BARS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,2,2,NA,3,0,0,1,3
BASA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0
BAWW,NA,NA,5,NA,NA,NA,2,NA,NA,NA,NA,NA,3,0,3,1,8,6,NA,2,8,11,7,11
BBMA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,NA,1,0,0,0,0
