SpeciesCode,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ABDU,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
ACFL,1,0,1,NA,1,2,0,NA,NA,NA,NA,1,NA,1,NA,3,NA,7,NA,NA,7,NA,NA,NA,NA
ALFL,0,0,0,0,0,3,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,3
AMAV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMBI,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
AMCO,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMCR,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,1
AMGO,150,169,216,208,173,350,191,322,171,369,283,350,NA,439,834,486,1245,410,654,261,908,661,360,445,448
AMGP,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMKE,1,4,0,0,1,1,0,1,2,1,0,2,NA,0,0,0,1,0,0,0,0,0,0,1,1
AMPI,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
AMRE,71,77,129,127,136,111,86,94,80,136,125,124,NA,83,173,126,207,144,106,243,147,159,53,161,167
AMRO,72,66,111,74,121,82,55,63,51,95,94,119,NA,99,166,96,156,145,145,88,133,105,87,120,74
AMWI,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
AMWO,2,3,1,2,2,2,0,2,1,4,3,3,NA,8,2,8,4,9,8,7,1,6,2,4,3
ARTE,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASTK,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATFL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATSP,22,77,17,49,61,14,6,11,19,30,42,14,NA,31,28,2,92,3,69,21,200,69,59,130,29
AWPE,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAEA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BANS,0,4,0,1,0,1,0,0,14,6,254,7,NA,14,0,5,4,1,0,2,0,2,0,10,0
BAOR,74,58,91,46,79,39,43,133,99,102,139,208,NA,210,212,239,345,209,343,364,224,216,115,325,271
BARS,7,16,29,33,26,18,18,17,28,23,87,37,NA,51,23,107,11,14,65,31,18,106,3,34,3
BASA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAWW,65,89,166,42,77,45,46,67,33,48,50,57,NA,56,61,59,74,61,99,106,46,49,58,57,53
BBCU,0,3,2,5,0,2,0,1,2,5,8,4,NA,3,4,5,10,7,5,7,7,3,1,3,6
BBPL,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
BBSA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BBWA,18,8,8,27,11,2,4,3,5,11,3,16,NA,6,9,7,11,8,15,34,12,13,13,13,25
BBWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCCH,5,44,4,16,7,43,6,51,7,6,12,54,NA,20,6,9,55,19,34,5,10,6,29,5,26
BCNH,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BEKI,0,0,0,0,0,0,0,0,11,1,0,0,NA,0,0,0,0,0,1,0,1,0,0,2,1
BEVI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BEWR,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
BGGN,18,20,20,0,21,0,0,2,1,0,29,41,NA,33,43,19,94,19,26,21,3,5,0,1,2
BHCO,285,434,331,180,154,336,230,384,123,323,339,313,NA,329,1184,230,519,184,350,469,388,383,383,440,429
BHGU,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BHVI,49,27,31,14,36,26,23,29,41,30,44,44,NA,44,86,28,55,28,89,29,49,32,46,79,76
BITH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
BLBW,20,19,38,39,20,14,7,22,NA,22,20,30,NA,22,42,26,27,32,29,37,30,25,12,19,34
BLGR,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLJA,101,356,388,481,267,856,111,735,157,885,695,411,NA,594,512,960,145,174,599,96,275,433,1091,486,546
BLKI,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLPW,31,13,28,55,24,42,34,29,20,36,18,40,NA,64,127,103,72,154,48,70,119,67,18,50,41
BLSC,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLSW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLTE,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0
BLVU,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BNST,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BOBO,1,1,0,0,4,1,2,0,0,2,7,2,NA,1,0,1,6,3,2,3,2,1,0,5,2
BOGU,2,0,0,0,0,0,0,0,0,0,0,1,NA,0,9,1,0,2,0,0,3,0,0,0,0
BRAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRBL,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRCR,315,556,369,252,369,425,115,233,63,75,275,161,NA,122,344,145,305,267,157,162,126,347,188,298,267
BRTH,66,81,48,48,65,55,37,40,26,41,80,84,NA,55,74,70,99,85,148,105,103,95,65,75,80
BRWA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,2,NA,2,NA,3,NA,1,NA,1
BTBW,74,64,90,48,96,79,62,38,66,65,69,55,NA,74,94,56,103,90,62,98,44,66,72,57,64
BTNW,44,29,32,37,45,30,38,41,34,48,33,49,NA,25,60,44,51,80,118,63,46,47,35,24,43
BUFF,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
BWHA,0,0,0,0,0,0,0,11,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
