SpeciesCode,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ABDU,0,0,0,0,NA,0,NA,0,0,0,NA,0,0,0
ALFL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMBI,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
AMCR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMGO,109,32,51,41,47,45,17,51,9,60,40,64,46,43
AMKE,0,0,NA,NA,0,0,0,0,0,1,0,0,0,0
AMPI,NA,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,0
AMRE,6,3,3,6,6,5,14,19,9,10,28,22,13,14
AMRO,16,18,12,8,5,17,30,21,7,44,19,36,6,9
AMWI,NA,0,0,NA,0,NA,0,0,NA,0,NA,NA,0,0
AMWO,NA,NA,NA,0,0,NA,0,0,1,0,0,0,0,1
ATSP,3,7,2,2,0,0,15,2,6,9,3,13,6,2
BAEA,NA,0,0,0,NA,NA,NA,0,0,0,0,0,0,0
BANS,0,NA,0,0,0,0,0,0,NA,NA,0,0,NA,NA
BAOR,14,11,18,14,15,16,7,9,7,19,15,13,12,9
BARS,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BAWW,1,2,4,6,2,2,5,2,1,4,3,4,1,7
BBCU,NA,0,0,0,NA,0,1,NA,1,0,0,0,0,0
BBPL,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
BBWA,NA,0,NA,1,3,0,1,1,2,4,2,0,0,0
BCCH,3,8,10,0,2,3,9,4,15,8,4,0,7,5
BCNH,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA
BDOW,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA
BEKI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGGN,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BHCO,3,7,5,6,5,4,4,1,1,2,2,2,0,1
BHVI,0,1,1,4,3,1,2,2,1,0,2,2,3,2
BITH,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLBW,1,0,0,0,1,0,0,0,1,0,0,0,0,0
BLJA,0,6,4,2,1,0,0,4,0,2,3,1,1,4
BLPW,3,3,47,24,39,6,45,20,15,14,15,7,6,1
BLSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
BLTE,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
BOBO,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BOWA,0,NA,NA,0,0,0,0,NA,0,NA,0,14,NA,0
BRAN,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRCR,1,1,0,1,2,1,1,1,1,4,4,4,0,2
BRTH,4,4,3,2,1,2,2,2,1,3,3,3,6,5
BTBW,1,0,1,2,3,2,1,2,2,3,4,2,3,6
BTNW,0,0,1,1,0,1,1,0,1,2,0,0,1,1
BWHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
