SpeciesCode,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ABDU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,0,NA
ACFL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
ALFL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1,NA,0,NA,0,0,0,0
AMBI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,0
AMCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
AMCR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
AMGO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194,141,209,70,119,74,82,310,172,187,437,279
AMKE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
AMPI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0
AMRE,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,51,63,40,79,58,50,65,70,63,46,49
AMRO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,25,70,52,34,41,26,44,55,22,19,57
AMWI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,0,0,0,NA,0
AMWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,1,0,0,0,1
ASTK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
ATSP,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,3,3,6,NA,5,2,5,1,8,3,6,3
BAEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0
BANS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,0
BAOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,40,21,19,12,6,12,11,7,6,4,16
BARS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,2,0,0,0,0,0,1,0
BAWW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,34,20,39,29,29,27,31,12,18,18,15
BBCU,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,0,0,0,0,0,0,0,2,0
BBMA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BBPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,NA
BBWA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,10,8,6,18,7,9,35,35,7,14,33
BCCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,27,12,3,18,4,20,2,39,8,25,5
BCNH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,0,0,0
BEKI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
BGGN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,3,3,1,1,5,2,2,3,0
BHCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,297,193,256,77,184,66,173,154,287,131,124,210
BHVI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,13,8,9,22,24,12,15,10,6,23,6
BLBW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,35,18,25,44,11,6,43,31,14,8,26
BLJA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223,523,183,280,183,58,179,76,207,178,235,80
BLPW,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,17,18,6,12,21,6,9,5,12,9,7
BLSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0,0,0,0
BLTE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
BLVU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0
BOBO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0
BOCH,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BOGU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
BOWA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,0,NA,NA,NA,19,0,4,NA,1,NA,NA
BRAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,NA,0,0
BRCR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,68,138,82,186,151,71,120,72,100,86,40
BRTH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,11,14,9,9,12,9,16,11,11,17,17
BRWA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,5,3,1,3,1,1,NA,1,4,3,0,4
BTBW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,32,27,43,36,39,29,35,29,34,46,13
BTNW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,65,36,30,108,39,29,81,48,38,41,36
BUFF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
BWHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
BWTE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0,0,NA,NA
BWWA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,2,4,2,3,3,2,6,4,4,0,6,3
CACG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA
CAGO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
