SpeciesCode,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ABDU,0,NA,0,0,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA
ACFL,NA,NA,0,0,0,0,0,1,0,1,1,0,NA,0,0,0
ALFL,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
AMBI,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
AMCO,NA,NA,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0
AMCR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMGO,6,3,13,2,2,3,2,4,3,2,1,3,4,0,5,2
AMKE,0,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,0
AMPI,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
AMRE,40,8,49,57,24,21,39,13,33,15,10,29,4,13,15,43
AMRO,5,6,5,7,6,20,17,10,4,12,13,11,6,12,8,8
AMWI,0,0,0,0,0,0,0,NA,NA,0,NA,0,0,0,0,0
AMWO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATSP,0,0,0,0,0,1,0,NA,1,0,0,0,0,0,0,0
AWPE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
BAEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BANS,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
BAOR,0,7,13,9,2,6,12,2,19,6,2,9,18,9,10,9
BARS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAWW,9,5,8,18,10,6,3,14,15,17,9,9,14,8,9,7
BBCU,1,1,0,0,0,2,0,0,0,1,0,1,0,1,0,1
BBPL,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BBWA,3,2,3,1,3,1,2,0,0,4,2,1,14,1,1,3
BCCH,10,2,6,1,1,2,0,1,5,0,0,1,4,2,1,0
BCNH,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,0
BEKI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGGN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHCO,0,0,5,4,0,2,2,3,2,2,2,2,6,2,5,2
BHVI,4,1,3,2,2,3,4,NA,NA,NA,15,2,2,12,12,15
BLBW,7,0,0,0,7,0,0,2,0,2,2,3,0,9,0,5
BLJA,5,0,4,2,2,4,4,1,1,2,0,1,0,1,8,0
BLPW,5,3,0,0,3,0,3,0,1,1,1,3,0,1,3,1
