SpeciesCode,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ABDU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0
ACFL,NA,NA,NA,2,1,NA,2,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALFL,NA,NA,NA,3,3,3,4,NA,NA,2,NA,NA,8,2,0,NA,NA,0,NA,NA,NA,NA,0,0
AMBI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,0,NA,NA,NA
AMCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMCR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0
AMGO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275,530,198,671,401,394,40,NA,361,527,844,225
AMKE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,0,0,0,1
AMPI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
AMRE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,57,22,95,43,29,29,NA,15,7,36,11
AMRO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,49,44,69,75,74,13,NA,23,31,48,23
AMWI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,NA,NA,0,NA,0
AMWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,2,1,0,0,NA,0,0,0,1
ATSP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,27,4,86,5,88,21,NA,47,17,74,1
BAEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0
BANS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,7,NA,0,0,0,0
BAOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,36,33,87,30,50,8,NA,38,47,100,117
BARS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,NA,0,0,0,0
BAWW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,12,14,7,7,5,NA,4,1,8,10
BBCU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,1,1,0,3,0,NA,0,3,4,3
BBPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BBWA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,1,NA,2,0,1,1,NA,3,0,10,3
BCCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,14,8,86,5,39,2,NA,3,6,8,4
BCNH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
BEKI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0
BGGN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,7,18,12,5,0,NA,6,6,16,8
BHCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,53,72,158,129,129,14,NA,155,79,188,52
BHVI,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,6,4,2,1,NA,0,2,2,11
BLBW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,4,4,2,2,NA,1,2,0,7
BLJA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,27,28,29,15,38,2,NA,14,38,10,14
BLPW,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,24,28,4,14,14,9,4,NA,1,6,28,3
BLTE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLVU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
BOBO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0
BOGU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0
BRCR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,1,27,4,12,4,NA,1,3,4,2
BRTH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,9,3,4,10,2,NA,6,3,4,6
BRWA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,0,NA,NA,4,0,0,NA,NA,1,NA,0,1
BTBW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,14,9,9,5,18,5,NA,2,3,0,1
BTNW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,3,4,5,4,2,NA,1,1,6,1
BUFF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,0
BWHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,0,0,0
BWTE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,NA,NA,0,NA
BWWA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,10,19,22,15,17,NA,NA,14,12,34,20
