SpeciesCode,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ABDU,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0
ALFL,0,0,0,2,21,16,0,NA,0,1,NA,NA,NA,NA,0,NA,NA,0,1,NA,NA,NA,NA,NA
AMCR,0,0,1,0,0,1,2,0,0,1,NA,NA,NA,NA,1,0,1,1,0,0,0,0,0,1
AMGO,32,22,9,2,2,14,20,34,11,16,NA,NA,NA,NA,58,8,11,21,25,7,11,7,15,10
AMKE,0,0,0,NA,0,0,0,0,0,1,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0
AMPI,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,1,0,0,0,0,0,0,0
AMRE,69,59,51,73,61,51,73,66,83,54,NA,NA,NA,NA,73,76,91,76,81,89,60,71,82,77
AMRO,4,3,0,1,1,4,1,7,2,2,NA,NA,NA,NA,2,4,5,4,5,0,7,4,2,3
AMWI,0,0,0,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,0
AMWO,NA,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
ATFL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATSP,4,14,2,NA,NA,NA,1,29,5,10,1,NA,NA,NA,2,1,6,4,16,8,1,11,34,13
ATTW,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,0
AWPE,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA
BAEA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
BANS,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
