SpeciesCode,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ABDU,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
ACFL,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
ALFL,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
AMAV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMBI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
AMCO,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,0,0,0,NA
AMCR,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
AMGO,NA,NA,NA,NA,NA,39,30,23,31,8,42,9,41,16,76,27
AMKE,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,0,0
AMPI,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,0,NA
AMRE,NA,NA,NA,NA,NA,31,46,15,38,34,53,19,48,14,48,55
AMRO,NA,NA,NA,NA,NA,23,28,27,32,18,20,16,25,33,28,28
AMWI,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA
AMWO,NA,NA,NA,NA,NA,0,0,0,0,1,1,0,0,0,3,2
ATSP,NA,NA,NA,NA,NA,6,6,23,18,62,18,21,69,69,34,8
BAEA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
BANS,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0
BAOR,NA,NA,NA,NA,NA,7,14,12,10,7,2,10,11,6,10,13
BARS,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,3,0,1,3
BAWW,NA,NA,NA,NA,NA,5,22,4,32,13,3,11,14,7,10,21
BBCU,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,1,0
BBPL,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,NA,0,NA,NA
BBWA,NA,NA,NA,NA,NA,2,0,3,0,10,5,13,2,7,19,12
BCCH,NA,NA,NA,NA,NA,5,4,3,0,4,2,1,7,3,4,9
BCNH,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
BEKI,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
BGGN,NA,NA,NA,NA,NA,1,0,1,2,3,2,1,0,0,4,1
BHCO,NA,NA,NA,NA,NA,14,24,8,10,19,3,9,12,18,22,77
BHVI,NA,NA,NA,NA,NA,1,4,4,6,1,0,1,2,2,2,12
BLBW,NA,NA,NA,NA,NA,8,14,5,9,10,10,19,9,5,25,24
BLJA,NA,NA,NA,NA,NA,1,2,0,1,0,0,0,6,2,0,2
BLPW,NA,NA,NA,NA,NA,35,14,19,12,8,6,9,20,7,12,8
BLSC,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLTE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BOBO,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,NA
BOGU,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
BOWA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
BRCR,NA,NA,NA,NA,NA,15,34,18,14,22,38,32,65,39,26,78
BRTH,NA,NA,NA,NA,NA,11,20,2,3,9,1,3,14,9,4,12
BRWA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BTBW,NA,NA,NA,NA,NA,8,24,14,16,8,16,14,26,8,12,14
BTNW,NA,NA,NA,NA,NA,10,8,12,19,14,9,7,17,7,19,16
BUFF,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
BWHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
BWTE,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
BWWA,NA,NA,3,NA,NA,1,NA,0,0,0,1,3,1,NA,1,NA
CACG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAGO,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
CANG,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
CANV,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
CATE,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
CAWA,NA,NA,NA,NA,NA,11,16,7,12,11,14,8,7,6,16,8
CCSP,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
CEDW,NA,NA,NA,NA,NA,6,0,13,51,143,4,11,10,1,14,7
CERW,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHSP,NA,NA,NA,NA,NA,5,0,4,1,1,2,0,0,1,2,1
CHSW,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
CLSW,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0
CMWA,NA,NA,NA,NA,NA,1,14,1,9,3,3,10,15,1,27,9
COGO,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,0
COGR,NA,NA,NA,NA,NA,4,16,16,21,12,2,3,37,20,27,40
COHA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,0,0
COLO,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
COME,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
CONI,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,NA
CONW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,1,1
CORA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
CORE,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,1,1
COSN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
COTE,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
COYE,NA,NA,NA,NA,NA,39,34,15,47,52,49,40,42,31,44,49
CRPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
CSWA,NA,NA,NA,NA,NA,9,42,16,21,21,21,30,23,12,39,33
CUCK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
DCCO,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
DEJU,NA,NA,NA,NA,NA,41,74,40,22,40,63,39,97,42,47,48
DOWO,NA,NA,NA,NA,NA,1,6,4,0,4,3,1,9,7,0,6
DUNL,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,1
EABL,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,1,0,NA
EAKI,NA,NA,NA,NA,NA,8,4,1,6,21,14,11,9,11,6,113
EAME,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA
EAPH,NA,NA,NA,NA,NA,10,14,9,18,18,14,3,10,20,16,33
EATO,NA,NA,NA,NA,NA,0,4,0,0,5,1,2,1,2,1,1
EAWP,NA,NA,NA,NA,NA,2,4,2,2,3,4,4,3,0,3,5
EUGO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EUST,NA,NA,NA,NA,NA,0,0,0,1,1,0,2,1,0,0,1
EVGR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EWPW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA
EWWR,NA,NA,NA,NA,NA,4,8,2,6,5,6,5,16,NA,NA,NA
FISP,NA,NA,NA,NA,NA,7,10,4,1,10,5,2,6,0,5,21
FOSP,NA,NA,NA,NA,NA,7,10,10,10,4,4,4,15,11,5,8
FOTE,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0
GADW,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
GBBG,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
GBHE,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
GCFL,NA,NA,NA,NA,NA,1,2,5,2,3,5,4,1,0,4,6
GCKI,NA,NA,NA,NA,NA,51,178,51,31,53,115,24,134,134,74,204
GCTH,NA,NA,50,NA,NA,25,100,15,30,12,10,8,18,8,25,11
GHOW,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
GLGU,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0
GRCA,NA,NA,NA,NA,NA,52,80,24,41,28,46,32,58,18,38,62
GREG,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
GRHE,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0,0
GRSC,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
GRSP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
GRYE,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
GWTE,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,0
GWWA,4,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,1,0,0,1
HARD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HAWO,NA,NA,NA,NA,NA,NA,4,0,NA,0,0,2,1,0,0,2
HERG,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0
HETH,NA,NA,NA,NA,NA,60,142,31,71,42,39,52,76,50,31,92
HOFI,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
HOGR,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0,NA,NA,0
HOLA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
HOME,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0
HOSP,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA
HOWA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA
HOWR,NA,NA,NA,NA,NA,4,8,3,5,15,6,3,6,2,11,12
HYBG,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INBU,NA,NA,2,NA,NA,3,0,0,2,3,3,2,1,1,2,8
KIEI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KILL,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
LALO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LBBG,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
LBDO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
LEFL,NA,NA,NA,NA,NA,14,24,8,14,24,20,15,31,10,52,54
LEOW,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
LESA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,4,2
LESC,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,0
LEYE,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,NA
LISP,NA,NA,NA,NA,NA,19,36,16,26,22,27,32,43,10,25,29
LTDU,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
MALL,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1
MAWA,NA,NA,NA,NA,NA,50,124,45,86,95,90,64,106,37,90,62
MAWR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
MBDH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
MERL,NA,NA,NA,NA,NA,0,NA,0,0,0,0,NA,0,0,0,NA
MODO,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0
MOWA,NA,NA,NA,NA,NA,12,24,7,2,10,4,7,12,4,8,8
MUSW,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
NAWA,NA,NA,NA,NA,NA,22,56,27,182,23,44,25,34,13,27,128
NOCA,NA,NA,NA,NA,NA,1,2,1,1,15,3,1,8,5,7,4
NOFL,NA,NA,NA,NA,NA,0,6,7,3,6,6,7,9,6,4,8
NOGO,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA
NOHA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,0
NOMO,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,0,0,NA
NOPA,NA,NA,NA,NA,NA,3,8,2,7,2,9,9,4,3,9,16
NOPI,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,NA
NOWA,NA,NA,NA,NA,NA,9,14,7,14,3,13,6,9,17,22,41
NRWS,NA,NA,NA,NA,NA,1,12,0,7,0,4,0,0,0,7,6
NSHO,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
NSHR,NA,NA,NA,NA,NA,0,2,NA,NA,0,1,NA,NA,NA,NA,NA
NSWO,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,0,NA,0,1,NA
OCWA,5,NA,3,3,NA,1,NA,0,6,1,1,3,1,1,2,7
OROR,NA,NA,NA,NA,NA,NA,NA,0,0,0,5,1,0,0,2,2
OSFL,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
OSPR,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,NA,0,0,0
OVEN,NA,NA,NA,NA,NA,9,50,4,33,14,18,24,32,14,14,23
PAWA,NA,NA,NA,NA,NA,22,34,18,101,36,33,26,21,29,52,86
PBGR,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,0,0,NA
PEEP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PEFA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA
PESA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA
PHVI,NA,NA,NA,NA,NA,3,2,2,1,13,1,2,5,5,13,5
PISI,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,0,0,NA,NA
